72,вот-вот VP-Fut NP-Nom,вот-вот прилетит самолет,Конструкция выражает неизбежность [некоторого действия]Action . [Участник]Participant (или ситуация в целом) находится в одном шаге от выполнения действия.,,Activity,Prediction,,Time,Adv,,,,,,,Adv,,,,,,,,,,Reduplication,,Reduplication
85,всё VP-Imp,С самого приезда в Пекин он всё грустил.,Всё similar to intensifier but rather tells about time (~constantly),,Activity,Continuation,,Time,Adv,,,,,,,Adv,,,,,,,,,,,,
86,всё VP-Imp да VP-Imp,мальчик всё шёл да шёл,Всё similar to intensifier but rather tells about time (~constantly),,Activity,Continuation,,Time,Adv,,,,,,,Adv,,,,,,,,,,Reduplication,,Reduplication
292,руки не доходят Cl,руки не доходят крышу починить,,,Activity,Attitude,,Time,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,
73,время от времени Cl,Время от времени я перестаю что-либо успевать.,,,Activity,Time ,Periodicity,,Adv,,,,,,,Adv,,,,,,,,,,Reduplication,,Reduplication
111,до сих пор Cl,до сих пор мне грустно,,,Activity,Time,,,Adv,,,,,,,Adv,,,,,,,,,,,,
113,до NP-Gen Cl,до завтрака нельзя включать телевизор,,,Activity,Time ,,,Adv,,,,,,,Adv,,,,,,,,,,,,
237,никогда не VP,я никогда не был в Африке,,,Activity,Time,,Negation,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,
275,пока что Cl,пока что мы видели только один магазин,,,Activity,Time,,,Adv,,,,,,,Adv,,,,,,,,,,,,
311,со временем Cl,со временем она обязательно научится готовить,,,Activity,Time,,,Adv,,,,,,,Adv,,,,,,,,,,,,
325,тем временем Cl,Тем временем директор покинул здание,,,Activity,Time,,,Adv,,,,,,,Adv,,,,,,,,,,,,
326,то и дело VP,маме то и дело звонили,,,Activity,Time,Periodicity,,Adv,,,,,,,Adv,,,,,,,,,,,,
509,NP-Nom всё V-Imp,Вася всё писал,Also Continuation? 86 -- всё VP-Imp. Это одна конструкция же?,,Activity,Time,,,Adv,,,,,,,Adv,,,,,,,,,,,,
527,NP-Nom на носу,зима на носу,,,Activity,Time,,,Adv,,,,,,,Adv,,,,,,,,,,,,
620,VP без конца,родители ругались без конца,,,Activity,Time,,Intensity,Adv,,,,,,,Adv,,,,,,,,,,,,
625,VP до конца,отстаивала свою позицию до конца,,,Activity,Time,,Intensity,Adv,,,,,,,Adv,,,,,,,,,,,,
